Country,"Life Expectancy, 2019"
Afghanistan,63.56
Angola,62.45
Albania,79.28
"United Arab Emirates",79.73
Armenia,75.44
"Antigua and Barbuda",78.69
Australia,82.9
Austria,81.9
Azerbaijan,73.1
Burundi,62.35
Belgium,82
Benin,60.45
"Burkina Faso",60.04
Bangladesh,72.81
Bulgaria,75.11
Bahrain,80.02
"Bahamas, The",71.2
"Bosnia and Herzegovina",77.24
Belarus,74.23
Belize,73.93
Bolivia,67.84
Brazil,75.34
Barbados,77.26
"Brunei Darussalam",74.75
Bhutan,71.39
Botswana,65.46
"Central African Republic",55.02
Canada,82.23
Switzerland,83.9
Chile,80.33
China,77.97
"Cote d'Ivoire",59.32
Cameroon,61.58
"Congo, Dem. Rep.",60.28
"Congo, Rep.",62.75
Colombia,76.75
Comoros,64.07
"Cabo Verde",76
"Costa Rica",79.43
Cuba,77.61
Cyprus,81.4
Czechia,79.23
Germany,81.29
Djibouti,63.08
Dominica,73.56
Denmark,81.45
"Dominican Republic",73.58
Algeria,76.47
Ecuador,77.3
"Egypt, Arab Rep.",71.36
Eritrea,67.3
Spain,83.83
Estonia,78.65
Ethiopia,65.84
Finland,81.98
Fiji,67.89
France,82.83
"Micronesia, Fed. Sts.",71.08
Gabon,66.6
"United Kingdom",81.4
Georgia,73.47
Ghana,64.74
Guinea,59.72
"Gambia, The",63.76
Guinea-Bissau,60.88
"Equatorial Guinea",61.64
Greece,81.64
Grenada,74.86
Guatemala,73.13
Guyana,69.12
Honduras,72.88
Croatia,78.42
Haiti,64.26
Hungary,76.32
Indonesia,70.52
India,70.91
Ireland,82.7
"Iran, Islamic Rep.",76.1
Iraq,71.58
Iceland,83.16
Israel,82.8
Italy,83.5
Jamaica,71.77
Jordan,76.04
Japan,84.36
Kazakhstan,73.18
Kenya,62.94
"Kyrgyz Republic",71.6
Cambodia,70.69
Kiribati,67.15
"St. Kitts and Nevis",71.57
"Korea, Rep.",83.23
Kuwait,79.68
"Lao PDR",68.14
Lebanon,79.24
Liberia,61.1
Libya,72.46
"St. Lucia",73.44
Liechtenstein,84.16
"Sri Lanka",76.01
Lesotho,54.17
Lithuania,76.28
Luxembourg,82.64
Latvia,75.39
Morocco,74.27
Moldova,70.94
Madagascar,65.88
Maldives,80.12
Mexico,74.2
"Marshall Islands",64.75
"North Macedonia",76.6
Mali,59.66
Malta,82.86
Myanmar,66.61
Montenegro,76.68
Mongolia,71.82
Mozambique,61.17
Mauritania,65.69
Mauritius,74.24
Malawi,64.12
Malaysia,75.76
Namibia,63.08
Niger,62.9
Nigeria,52.91
Nicaragua,74.05
Netherlands,82.11
Norway,82.96
Nepal,69.56
Nauru,63.48
"New Zealand",82.06
Oman,78
Pakistan,66.76
Panama,77.81
Peru,76.16
Philippines,71.86
"Papua New Guinea",65.47
Poland,77.9
"Korea, Dem. People's Rep.",73.2
Portugal,81.68
Paraguay,73.62
Qatar,80.99
Romania,75.61
"Russian Federation",73.08
Rwanda,66.44
"Saudi Arabia",77.3
Sudan,65.88
Senegal,68.53
Singapore,83.6
"Solomon Islands",70.38
"Sierra Leone",60.26
"El Salvador",72.56
Somalia,57.08
Serbia,75.94
"South Sudan",55.91
"Sao Tome and Principe",68.52
Suriname,72.24
"Slovak Republic",77.67
Slovenia,81.53
Sweden,83.11
Eswatini,60.55
Seychelles,74.05
"Syrian Arab Republic",71.82
Chad,53.26
Togo,60.9
Thailand,78.97
Tajikistan,70.87
Turkmenistan,69
Timor-Leste,68.27
Tonga,70.87
"Trinidad and Tobago",74.23
Tunisia,75.99
Turkiye,77.83
Tuvalu,64.28
Tanzania,66.99
Uganda,62.99
Ukraine,71.83
Uruguay,77.51
"United States",78.79
Uzbekistan,71.34
"St. Vincent and the Grenadines",72.83
"Venezuela, RB",72.16
Vietnam,74.09
Vanuatu,69.88
Samoa,72.16
Kosovo,79.02
"Yemen, Rep.",65.09
"South Africa",66.18
Zambia,62.79
Zimbabwe,61.29
